source,target
Привет,Hello
Как дела?,How are you?
Доброе утро,Good morning
Добрый вечер,Good evening
Спокойной ночи,Good night
Сколько времени?,What time is it?
Где метро?,Where is the subway?
Можно помочь?,Can you help?
Сколько стоит?,How much is it?
Я не понимаю,I don't understand
Где туалет?,Where is the toilet?
Мне нужен врач,I need a doctor
Это прекрасно,It's wonderful
Очень вкусно,Very tasty
Какой сегодня день?,What day is it today?
Я устал,I'm tired
Ты прав,You're right
Это опасно,It's dangerous
Подождите меня,Wait for me
Я тебя люблю,I love you
Любовь,Love
Где ты,Where's you
Я, I'm 
Ты, you
Они, They
Он, he
Она, she
Мы, we
Вы, You
Как?, How?
Никогда, never
Разум, Mind
Нейросеть, Neural Network
Перехват, interception
Хакер взламывает компьютер, Hacker hacks computer
